S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
4,WEST BENGAL,JALPAIGURI,26.681,88.761,0.4,22.5,-98%,LD,1708.4,2150.6,-21%,D,EXACT,1.0
5,WEST BENGAL,KALIMPONG,27.033,88.629,1.8,19.1,-90%,LD,1436.2,1781.5,-19%,N,EXACT,1.0
6,WEST BENGAL,MALDA,25.142,88.089,21.6,12.5,73%,LE,633.7,792,-20%,D,FUZZY,0.909
7,WEST BENGAL,NORTH DINAJPUR,25.889,87.998,0,20.4,-100%,NR,749.7,1019.4,-26%,D,EXACT,1.0
8,WEST BENGAL,SOUTH DINAJPUR,25.367,88.575,0,7.3,-100%,NR,638.8,742.7,-14%,N,EXACT,1.0
1,SIKKIM,GANGTOK,27.292,88.671,0.1,12.9,-99%,LD,1416,1602.2,-12%,N,EXACT,1.0
2,SIKKIM,GYALSHING,27.349,88.175,7,17.7,-61%,LD,1682.7,1287.2,31%,E,EXACT,1.0
3,SIKKIM,MANGAN,27.744,88.528,14.9,13.2,13%,N,984.3,1118.1,-12%,N,EXACT,1.0
4,SIKKIM,NAMCHI,27.287,88.383,0,10.7,-100%,NR,1436.4,1186.9,21%,E,EXACT,1.0
5,SIKKIM,Pakyong,27.23,88.6,0,12.7,-100%,NR,1213.6,1188.5,2%,N,EXACT,1.0
6,SIKKIM,Soreng,27.17,88.25,10.5,17.7,-41%,D,1749,1287.2,36%,E,EXACT,1.0
1,WEST BENGAL,BANKURA,23.139,87.136,0,12.2,-100%,NR,848.7,836.4,1%,N,EXACT,1.0
2,WEST BENGAL,BIRBHUM,23.955,87.663,0,9.6,-100%,NR,627.6,800.3,-22%,D,EXACT,1.0
3,WEST BENGAL,EAST MIDNAPORE,22.032,87.772,0,11.5,-100%,NR,1422.9,881.2,61%,LE,EXACT,1.0
4,WEST BENGAL,HOOGHLY,22.884,88.072,0.9,13.7,-94%,LD,793.3,756.1,5%,N,EXACT,1.0
5,WEST BENGAL,HOWRAH,22.524,88.064,1.5,8.1,-81%,LD,908.2,827.6,10%,N,EXACT,1.0
6,WEST BENGAL,JHARGRAM,22.363,86.956,0,10.7,-100%,NR,811.9,833.3,-3%,N,EXACT,1.0
7,WEST BENGAL,KOLKATA,22.559,88.344,2,10.2,-80%,LD,1071.8,943.2,14%,N,EXACT,1.0
8,WEST BENGAL,MURSHIDABAD,24.171,88.229,0,6.6,-100%,NR,536.5,700.9,-23%,D,EXACT,1.0
9,WEST BENGAL,NADIA,23.479,88.517,1,9.6,-89%,LD,534.2,674.7,-21%,D,EXACT,1.0
10,WEST BENGAL,NORTH 24 PARGANAS,22.727,88.731,0,11.8,-100%,NR,1041.2,828.5,26%,E,EXACT,1.0
11,WEST BENGAL,PASCHIM BARDHAMAN,23.661,87.16,0,13.8,-100%,NR,771.9,780.4,-1%,N,EXACT,1.0
12,WEST BENGAL,PURBA BARDHAMAN,23.36,87.947,0,13.5,-100%,NR,694.6,742.4,-6%,N,EXACT,1.0
13,WEST BENGAL,PURULIA,23.277,86.421,0,10.8,-100%,NR,607.6,784.6,-23%,D,EXACT,1.0
14,WEST BENGAL,SOUTH 24 PARGANAS,22.063,88.535,0,16.6,-100%,NR,1237.3,1036.5,19%,N,EXACT,1.0
15,WEST BENGAL,WEST MIDNAPORE,22.439,87.417,0,10.7,-100%,NR,1197.1,833.3,44%,E,EXACT,1.0
1,ODISHA,ANGUL,20.987,84.906,0.1,10.7,-99%,LD,1101.9,809.1,36%,E,EXACT,1.0
2,ODISHA,BALANGIR,20.589,83.172,0.4,10,-96%,LD,1101.9,789.5,40%,E,EXACT,1.0
3,ODISHA,BALASORE,21.492,86.914,4.6,10.5,-56%,D,1315.5,830.1,58%,E,EXACT,1.0
4,ODISHA,BARGARH,21.219,83.349,0.3,12.4,-98%,LD,1441.4,878,64%,LE,EXACT,1.0
5,ODISHA,BHADRAK,20.983,86.625,1.8,8.5,-79%,LD,1043,751.6,39%,E,EXACT,1.0
6,ODISHA,BOUDH,20.644,84.173,0,12.6,-100%,NR,1466.2,743.1,97%,LE,EXACT,1.0
7,ODISHA,CUTTACK,20.453,85.697,3.2,9.8,-68%,LD,1150.3,806,43%,E,EXACT,1.0
8,ODISHA,DEOGARH,21.537,84.733,0.5,9.9,-95%,LD,1196.9,841.7,42%,E,EXACT,1.0
9,ODISHA,DHENKANAL,20.827,85.524,2.9,9.9,-71%,LD,1272.9,789.3,61%,LE,EXACT,1.0
10,ODISHA,GAJAPATI,19.186,84.161,8.3,7.9,5%,N,425.4,609.5,-30%,D,EXACT,1.0
11,ODISHA,GANJAM,19.625,84.673,0.7,7.6,-91%,LD,517.2,591.5,-13%,N,EXACT,1.0
12,ODISHA,JAGATSINGHPUR,20.219,86.336,16.7,9.8,70%,LE,999.7,724,38%,E,EXACT,1.0
13,ODISHA,JAJPUR,20.856,86.149,1.5,9.5,-84%,LD,1056.3,871.3,21%,E,EXACT,1.0
14,ODISHA,JHARSUGUDA,21.806,83.948,0.3,10.8,-97%,LD,994.1,876.4,13%,N,EXACT,1.0
15,ODISHA,KALAHANDI,19.868,83.108,3,16.4,-82%,LD,782.2,1022.4,-23%,D,EXACT,1.0
16,ODISHA,KANDHAMAL,20.128,84.046,0.8,11.2,-93%,LD,1019.5,792.2,29%,E,EXACT,1.0
