State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date,Match_Type,Match_Score
UTTAR PRADESH,PRAYAGRAJ,25.304,81.96,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,RAE BAREILLY,26.226,81.135,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,RAMPUR,28.81,79.115,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SAHARANPUR,29.951,77.547,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SAMBHAL,28.455,78.552,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SANT KABIR NAGAR,26.776,83.027,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHAHJAHANPUR,27.951,79.822,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHAMLI,29.5,77.282,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHRAWASTI,27.718,81.903,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SIDDHARTH NAGAR,27.27,82.873,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SITAPUR,27.517,80.852,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SONBHADRA,24.408,83.051,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SULTANPUR,26.243,82.225,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,UNNAO,26.609,80.561,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,VARANASI,25.388,82.914,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,BANKURA,23.139,87.136,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,BIRBHUM,23.955,87.663,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,DARJILING,26.853,88.263,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,EAST MIDNAPORE,22.032,87.772,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,HOOGHLY,22.884,88.072,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,HOWRAH,22.524,88.064,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,JHARGRAM,22.363,86.956,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,KOLKATA,22.559,88.344,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BAGHPAT,29.057,77.308,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,MURSHIDABAD,24.171,88.229,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,NADIA,23.479,88.517,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,NORTH 24 PARGANAS,22.727,88.731,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PASCHIM BARDHAMAN,23.661,87.16,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PURBA BARDHAMAN,23.36,87.947,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PURULIA,23.277,86.421,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,SOUTH 24 PARGANAS,22.063,88.535,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,WEST MIDNAPORE,22.439,87.417,,,,,,,,,,,,UNMATCHED,
