State,District,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date
ODISHA,BARGARH,56.3,23.9,136.0,LE,758.8,473.8,60.0,LE,6,4,2026-07-22
ODISHA,BHADRAK,32.6,9.1,259.0,LE,528.7,407.1,30.0,E,6,5,2026-07-22
ODISHA,BOUDH,62.5,13.2,373.0,LE,909.5,400.4,127.0,LE,6,6,2026-07-22
ODISHA,CUTTACK,71.6,9.9,623.0,LE,686.8,429.2,60.0,LE,6,7,2026-07-22
ODISHA,DEOGARH,84.9,16.4,418.0,LE,407.5,463.7,-12.0,N,7,8,2026-07-22
ODISHA,DHENKANAL,55.8,11.8,373.0,LE,761.8,432.2,76.0,LE,7,9,2026-07-22
ODISHA,GAJAPATI,15.4,10.3,49.0,E,270.3,357.2,-24.0,D,7,10,2026-07-22
ODISHA,GANJAM,31.7,9.3,241.0,LE,329.3,336.3,-2.0,N,7,11,2026-07-22
ODISHA,JAGATSINGHPUR,19.2,6.8,183.0,LE,608.5,365.7,66.0,LE,7,12,2026-07-22
ODISHA,JAJPUR,36.3,11.2,224.0,LE,584.0,469.8,24.0,E,7,13,2026-07-22
ODISHA,JHARSUGUDA,45.5,19.4,135.0,LE,500.7,469.4,7.0,N,7,14,2026-07-22
ODISHA,KALAHANDI,28.3,16.3,73.0,LE,417.7,553.4,-25.0,D,7,15,2026-07-22
ODISHA,KANDHAMAL,31.2,13.3,135.0,LE,681.3,433.0,57.0,E,7,16,2026-07-22
ODISHA,KENDRAPARA,6.2,9.0,-31.0,D,659.7,393.0,68.0,LE,7,17,2026-07-22
ODISHA,KEONJHARGARH,47.0,14.2,231.0,LE,590.3,454.6,30.0,E,7,18,2026-07-22
ODISHA,KHURDA,48.1,11.1,333.0,LE,522.8,411.9,27.0,E,7,19,2026-07-22
ODISHA,KORAPUT,15.0,17.7,-15.0,N,451.5,466.2,-3.0,N,7,20,2026-07-22
ODISHA,MALKANGIRI,4.1,16.4,-75.0,LD,336.3,473.3,-29.0,D,7,21,2026-07-22
ODISHA,MAYURBHANJ,15.0,11.8,27.0,E,458.5,484.5,-5.0,N,7,22,2026-07-22
ODISHA,NAWAPARA,14.7,16.3,-10.0,N,444.1,420.2,6.0,N,7,23,2026-07-22
ODISHA,NAWARANGPUR,23.7,18.8,26.0,E,333.3,540.2,-38.0,D,7,24,2026-07-22
ODISHA,NAYAGARH,46.3,14.6,217.0,LE,600.6,433.8,38.0,E,7,25,2026-07-22
ODISHA,PURI,40.9,7.9,417.0,LE,593.1,360.5,65.0,LE,7,26,2026-07-22
ODISHA,RAYAGADA,26.1,14.0,86.0,LE,320.4,395.4,-19.0,N,7,27,2026-07-22
ODISHA,SAMBALPUR,58.3,21.8,168.0,LE,579.0,501.3,15.0,N,7,28,2026-07-22
ODISHA,SONEPUR,61.6,22.0,180.0,LE,919.9,460.7,100.0,LE,7,29,2026-07-22
ODISHA,SUNDARGARH,70.4,18.5,281.0,LE,467.9,484.6,-3.0,N,7,30,2026-07-22
JHARKHAND,BOKARO,14.4,6.9,109.0,LE,258.8,363.6,-29.0,D,7,1,2026-07-22
JHARKHAND,CHATRA,0.4,8.0,-96.0,LD,221.3,371.8,-40.0,D,7,2,2026-07-22
JHARKHAND,DEOGHAR,2.2,12.6,-82.0,LD,160.4,413.4,-61.0,LD,8,3,2026-07-22
