State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category
BIHAR,SAHARSA,25.814,86.591,1.5,9.9,-84.0,LD,228.8,472.9,-52.0,D
BIHAR,SAMASTIPUR,25.774,85.865,3.4,6.4,-47.0,D,201.5,391.0,-48.0,D
BIHAR,SARAN,25.904,84.826,1.0,6.2,-84.0,LD,210.0,363.8,-42.0,D
BIHAR,SHEIKHPURA,25.126,85.839,9.2,7.9,17.0,N,214.6,351.1,-39.0,D
BIHAR,SHEOHAR,26.498,85.301,9.4,9.3,2.0,N,253.9,449.3,-43.0,D
BIHAR,SITAMARHI,26.585,85.552,0.5,10.1,-95.0,LD,190.2,446.5,-57.0,D
BIHAR,SIWAN,26.162,84.386,0.6,4.1,-85.0,LD,374.0,359.8,4.0,N
BIHAR,SUPAUL,26.245,86.808,1.2,9.4,-88.0,LD,418.5,493.4,-15.0,N
BIHAR,VAISHALI,25.768,85.367,4.1,8.2,-50.0,D,237.8,368.6,-35.0,D
BIHAR,WEST CHAMPARAN,27.081,84.338,0.6,10.7,-94.0,LD,403.1,505.6,-20.0,D
CHANDIGARH,CHANDIGARH,30.729,76.781,,,,,,,,
CHHATTISGARH,BALOD,20.742,81.188,54.8,10.9,403.0,LE,402.5,410.5,-2.0,N
CHHATTISGARH,BALODA BAZAR,21.582,82.327,39.8,18.6,114.0,LE,489.1,381.0,28.0,E
KARNATAKA,BENGALURU URBAN,12.952,77.594,,,,,,,,
CHHATTISGARH,BASTAR,19.082,81.868,12.4,12.6,-2.0,N,304.2,491.3,-38.0,D
CHHATTISGARH,BEMETARA,21.709,81.524,15.2,16.9,-10.0,N,267.9,422.1,-37.0,D
CHHATTISGARH,BIJAPUR,18.843,80.776,10.7,14.6,-27.0,D,370.3,511.0,-28.0,D
CHHATTISGARH,BILASPUR,22.406,82.073,40.4,13.7,195.0,LE,492.7,410.1,20.0,E
CHHATTISGARH,DANTEWADA,18.864,81.378,9.1,9.3,-2.0,N,384.9,496.4,-22.0,D
CHHATTISGARH,DHAMTARI,20.555,81.809,37.3,18.4,103.0,LE,382.6,431.8,-11.0,N
CHHATTISGARH,DURG,21.22,81.383,39.4,15.5,154.0,LE,402.4,412.9,-3.0,N
CHHATTISGARH,GARIABAND,20.449,82.235,23.8,14.4,65.0,LE,439.0,419.7,5.0,N
TAMILNADU,RANIPET,12.952,79.459,0.0,3.0,-100.0,NR,74.0,142.3,-48.0,D
CHHATTISGARH,JANJGIR,21.928,82.734,51.6,19.0,172.0,LE,573.5,415.7,38.0,E
CHHATTISGARH,JASHPUR,22.801,83.862,23.0,17.5,31.0,E,314.7,576.5,-45.0,D
CHHATTISGARH,KABIRDHAM,22.093,81.222,30.7,9.9,210.0,LE,271.2,335.2,-19.0,N
CHHATTISGARH,KANKER,20.138,81.123,31.2,23.2,34.0,E,257.9,514.2,-50.0,D
CHHATTISGARH,KHAIRAGARH CHH GANDAI,21.417937,80.981938,17.9,10.4,72.0,LE,292.0,287.0,2.0,N
CHHATTISGARH,KONDAGAON,19.746,81.665,16.2,13.0,25.0,E,279.4,456.8,-39.0,D
CHHATTISGARH,KORBA,22.534,82.609,58.8,17.9,229.0,LE,457.2,500.1,-9.0,N
CHHATTISGARH,GAURELA PENDRA MARWAHI,22.83,81.95,8.0,11.1,-28.0,D,392.8,432.4,-9.0,N
CHHATTISGARH,MAHASAMUND,21.208,82.608,26.0,22.3,17.0,N,452.5,418.6,8.0,N
CHHATTISGARH,MANENDRAGARH BHARATPUR,23.596607,82.058294,25.0,14.4,74.0,LE,355.7,454.5,-22.0,D
CHHATTISGARH,MOHALA MANPUR CHOWKI,20.85,80.75,62.3,14.1,342.0,LE,265.7,427.2,-38.0,D
CHHATTISGARH,MUNGELI,22.241,81.73,47.6,14.0,240.0,LE,525.6,395.7,33.0,E
CHHATTISGARH,NARAYANPUR,19.57,81.086,23.8,19.1,25.0,E,407.3,484.6,-16.0,N
CHHATTISGARH,RAIGARH,22.085,83.303,63.4,17.2,268.0,LE,416.3,470.8,-12.0,N
CHHATTISGARH,RAIPUR,21.286,81.82,49.6,16.2,206.0,LE,450.8,400.3,13.0,N
CHHATTISGARH,RAJNANDGAON,21.04,80.82,58.0,11.3,413.0,LE,369.8,424.8,-13.0,N
CHHATTISGARH,SAKTI,22.03,82.96,49.8,17.6,183.0,LE,468.6,435.1,8.0,N
CHHATTISGARH,SARANGARH BILAIGARH,21.59,83.08,39.9,18.2,119.0,LE,613.7,373.8,64.0,LE
CHHATTISGARH,SUKMA,18.256,81.347,4.3,12.2,-65.0,LD,309.0,473.9,-35.0,D
CHHATTISGARH,SURAJPUR,23.402,82.883,61.4,15.6,294.0,LE,424.7,484.8,-12.0,N
CHHATTISGARH,SURGUJA,22.929,83.227,41.5,11.9,249.0,LE,250.9,494.5,-49.0,D
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DADARA & NAGAR HAVELI,20.194,73.071,233.6,34.5,577.0,LE,1349.2,1045.5,29.0,E
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DAMAN,20.414,72.859,294.6,34.5,754.0,LE,1584.1,1045.5,52.0,E
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DIU,20.72,70.938,6.4,10.9,-41.0,D,585.0,419.7,39.0,E
DELHI,CENTRAL DELHI,28.694,77.216,,,,,,,,
DELHI,EAST DELHI,28.62,77.296,,,,,,,,
DELHI,NEW DELHI,28.577,77.147,,,,,,,,
DELHI,NORTH DELHI,28.794,77.108,,,,,,,,
DELHI,NORTH EAST DELHI,28.719,77.257,,,,,,,,
DELHI,NORTH WEST DELHI,28.727,77.042,,,,,,,,
DELHI,SOUTH DELHI,28.483,77.191,,,,,,,,
DELHI,SOUTH EAST DELHI,28.543,77.274,,,,,,,,
DELHI,SOUTH WEST DELHI,28.576,76.967,,,,,,,,
DELHI,WEST DELHI,28.656,77.065,,,,,,,,
GOA,NORTH GOA,15.581,73.973,19.4,36.7,-47.0,D,923.9,1702.0,-46.0,D
GOA,SOUTH GOA,15.222,74.107,48.9,37.6,30.0,E,1135.8,1639.1,-31.0,D
GUJARAT,AHMEDABAD,22.785,72.246,3.7,6.4,-43.0,D,128.4,254.3,-50.0,D
GUJARAT,AMRELI,21.425,71.249,4.2,8.8,-52.0,D,328.1,275.3,19.0,N
GUJARAT,ANAND,22.46,72.787,10.1,8.9,14.0,N,132.1,310.3,-57.0,D
GUJARAT,ARAVALLI,23.468,73.328,1.4,8.4,-84.0,LD,134.6,293.4,-54.0,D
GUJARAT,BANASKANTHA,24.287,72.026,0.4,4.8,-92.0,LD,60.1,202.4,-70.0,LD
GUJARAT,BHARUCH,21.787,72.933,30.7,7.9,289.0,LE,289.2,313.4,-8.0,N
