State,District,Lat,Lon
KARNATAKA,DAVANGERE,14.409,75.954
KARNATAKA,DHARWAD,15.39,75.152
KARNATAKA,GADAG,15.431,75.665
KARNATAKA,HASSAN,12.996,76.108
KARNATAKA,HAVERI,14.739,75.417
KARNATAKA,KALABURAGI,17.26,76.869
KARNATAKA,KODAGU,12.325,75.801
KARNATAKA,KOLAR,13.14,78.218
KARNATAKA,KOPPAL,15.563,76.222
KARNATAKA,MANDYA,12.611,76.797
KARNATAKA,MYSURU,12.211,76.44
KARNATAKA,RAICHUR,16.091,76.892
KARNATAKA,RAMANAGARA,12.679,77.335
KARNATAKA,SHIVAMOGGA,14.043,75.22
KARNATAKA,TUMAKURU,13.522,76.946
KARNATAKA,UDUPI,13.498,74.872
KARNATAKA,UTTARA KANNADA,14.792,74.62
KARNATAKA,VIJAYANAGARA,15.139,76.921
KARNATAKA,VIJAYAPURA,16.794,75.953
KARNATAKA,YADGIR,16.627,76.913
KERALA,ALAPUZHA,9.427,76.448
KERALA,ERNAKULAM,10.084,76.546
KERALA,IDUKKI,9.84,77.057
KERALA,KANNUR,12.001,75.524
KERALA,KASARGOD,12.462,75.152
KERALA,KOLLAM,8.962,76.873
KERALA,KOTTAYAM,9.637,76.651
KERALA,KOZHIKODE,11.485,75.834
KERALA,MALAPPURAM,11.134,76.155
KERALA,PALAKKAD,10.795,76.557
KERALA,PATHANAMTHITTA,9.285,76.927
KERALA,THIRUVANANTHAPURAM,8.609,77.013
KERALA,THRISSUR,10.472,76.315
KERALA,WYNAD,11.712,76.098
LADAKH,KARGIL,33.886,76.508
LADAKH,LADAKH (LEH),35.036,76.806
LAKSHADWEEP,LAKSHADWEEP,10.449,72.953
MADHYA PRADESH,AGAR-MALWA,23.815,76.089
MADHYA PRADESH,ALIRAJPUR,22.315,74.364
MADHYA PRADESH,ANUPPUR,23.057,81.682
MADHYA PRADESH,ASHOKNAGAR,24.609,77.875
MADHYA PRADESH,BALAGHAT,21.881,80.359
MADHYA PRADESH,BARWANI,21.788,75.021
MADHYA PRADESH,BETUL,21.879,77.871
MADHYA PRADESH,BHIND,26.422,78.721
CHHATTISGARH,BALRAMPUR,23.593,83.501
MADHYA PRADESH,BURHANPUR,21.37,76.369
MADHYA PRADESH,CHHATARPUR,24.798,79.666
MADHYA PRADESH,CHHINDWARA,22.122,78.854
MADHYA PRADESH,DAMOH,23.812,79.527
MADHYA PRADESH,DATIA,25.801,78.597
MADHYA PRADESH,DEWAS,22.744,76.457
MADHYA PRADESH,DHAR,22.498,75.104
MADHYA PRADESH,DINDORI,22.89,81.051
MADHYA PRADESH,GUNA,24.556,77.199
MADHYA PRADESH,GWALIOR,26.04,78.146
MADHYA PRADESH,HARDA,22.233,77.123
MADHYA PRADESH,INDORE,22.713,75.782
MADHYA PRADESH,JABALPUR,23.234,79.976
MADHYA PRADESH,JHABUA,22.892,74.672
UTTAR PRADESH,BALRAMPUR,27.484,82.375
MADHYA PRADESH,KHANDWA,21.935,76.568
MADHYA PRADESH,KHARGONE,21.919,75.771
MADHYA PRADESH,MAIHAR,24.265,80.76
MADHYA PRADESH,MANDLA,22.639,80.512
MADHYA PRADESH,MANDSAUR,24.204,75.405
MADHYA PRADESH,MAUGANJ,24.667,81.88
MADHYA PRADESH,MORENA,26.413,77.868
MADHYA PRADESH,NARMADAPURAM,22.745,77.736
MADHYA PRADESH,NARSINGHPUR,22.936,79.088
MADHYA PRADESH,NEEMUCH,24.592,75.142
MADHYA PRADESH,NIWARI,25.285,78.749
MADHYA PRADESH,PANDHURNA,21.6,78.52
MADHYA PRADESH,KATNI,23.753,80.403
MADHYA PRADESH,RAISEN,23.22,78.121
MADHYA PRADESH,RAJGARH,23.861,76.732
MADHYA PRADESH,RATLAM,23.502,75.089
MADHYA PRADESH,REWA,24.755,81.587
MADHYA PRADESH,SAGAR,23.85,78.76
MADHYA PRADESH,SATNA,24.531,80.831
MADHYA PRADESH,SEHORE,22.988,77.127
MADHYA PRADESH,SEONI,22.317,79.689
MADHYA PRADESH,SHAHDOL,23.629,81.474
MADHYA PRADESH,SHAJAPUR,23.366,76.575
MADHYA PRADESH,SHEOPUR,25.754,77.007
MADHYA PRADESH,SHIVPURI,25.366,77.805
MADHYA PRADESH,SIDHI,24.221,81.834
MADHYA PRADESH,SINGRAULI,24.215,82.419
MADHYA PRADESH,TIKAMGARH,24.883,79.016
MADHYA PRADESH,UJJAIN,23.331,75.669
MADHYA PRADESH,UMARIA,23.562,80.974
MADHYA PRADESH,VIDISHA,23.892,77.813
MAHARASHTRA,AHMEDNAGAR,19.205,74.675
MAHARASHTRA,AKOLA,20.748,77.055
MAHARASHTRA,AMRAOTI,21.187,77.57
MAHARASHTRA,BEED,18.946,75.838
MAHARASHTRA,BHANDARA,21.122,79.759
MAHARASHTRA,BULDHANA,20.511,76.407
MAHARASHTRA,CHANDRAPUR,20.118,79.44
MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,20.029,75.281
MAHARASHTRA,DHARASHIV,18.188,76.038
MAHARASHTRA,DHULE,21.11,74.6
MAHARASHTRA,GADCHIROLI,19.788,80.241
MAHARASHTRA,GONDIA,21.159,80.212
MAHARASHTRA,HINGOLI,19.62,77.101
MAHARASHTRA,JALGAON,20.934,75.487
MAHARASHTRA,JALNA,19.808,75.981
MAHARASHTRA,KOLHAPUR,16.47,74.159
MAHARASHTRA,LATUR,18.374,76.76
MAHARASHTRA,MUMBAI CITY,18.961,72.852
MAHARASHTRA,MUMBAI SUBURBAN,19.132,72.885
MAHARASHTRA,NAGPUR,21.178,79.085
MAHARASHTRA,NANDED,19.112,77.618
MAHARASHTRA,NANDURBAR,21.55,74.216
MAHARASHTRA,NASHIK,20.26,74.071
MAHARASHTRA,PALGHAR,19.794,73.019
MAHARASHTRA,PARBHANI,19.271,76.678
MAHARASHTRA,PUNE,18.571,74.068
MAHARASHTRA,RAIGAD,18.52,73.218
MAHARASHTRA,RATNAGIRI,17.273,73.455
MAHARASHTRA,SANGLI,17.114,74.768
MAHARASHTRA,SATARA,17.67,74.172
MAHARASHTRA,SHOLAPUR,17.791,75.483
MAHARASHTRA,SINDHUDURG,16.133,73.739
MAHARASHTRA,THANE,19.361,73.321
MAHARASHTRA,WARDHA,20.797,78.586
MAHARASHTRA,WASHIM,20.234,77.217
MAHARASHTRA,YEOTMAL,20.083,78.161
MANIPUR,BISHNUPUR,24.538,93.799
MANIPUR,CHANDEL,24.14,94.014
MANIPUR,CHURACHANDPUR,24.28,93.603
MANIPUR,IMPHAL EAST,24.826,94.009
MANIPUR,IMPHAL WEST,24.772,93.868
MANIPUR,SENAPATI,25.398,94.127
MANIPUR,TAMENGLONG,25.047,93.556
MANIPUR,THOUBAL,24.621,94.012
MANIPUR,UKHRUL,25.23,94.427
MIZORAM,MAMIT,23.753,92.463
MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469
MEGHALAYA,EAST KHASI HILLS,25.381,91.797
MEGHALAYA,NORTH GARO HILLS,25.856,90.665
MEGHALAYA,RI BHOI,25.871,91.886
MEGHALAYA,SOUTH GARO HILLS,25.302,90.582
MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993
MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243
MEGHALAYA,WEST GARO HILLS,25.653,90.196
MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285
MEGHALAYA,WEST KHASI HILLS,25.605,91.263
MIZORAM,AIZAWL,23.836,92.824
MIZORAM,CHAMPHAI,23.425,93.304
MIZORAM,KOLASIB,24.158,92.727
MIZORAM,LAWNGTLAI,22.434,92.769
MIZORAM,LUNGLEI,22.968,92.643
MADHYA PRADESH,PANNA,24.419,80.189
MIZORAM,SAIHA,22.291,93.001
MIZORAM,SERCHHIP,23.299,92.934
NAGALAND,DIMAPUR,25.776,93.795
NAGALAND,KIPHIRE,25.847,94.824
NAGALAND,KOHIMA,25.77,94.11
NAGALAND,LONGLENG,26.559,94.798
NAGALAND,MOKOKCHUNG,26.472,94.529
NAGALAND,MON,26.684,95.018
NAGALAND,PEREN,25.493,93.615
NAGALAND,PHEK,25.649,94.532
NAGALAND,TUENSANG,26.177,94.887
NAGALAND,WOKHA,26.196,94.198
